,Freq,Amp,Freq,Amp,Freq,Amp,Freq,Amp,Freq,Amp,Freq,Amp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,100.3566691,2.05564768,50.09285188,1.845123129,81.550479,1.038426894,31.28666175,0.99827862,69.07000737,0.455076748,18.80619013,0.369670911,0,0,50.18382861,1.21591462,100.2073255,0.155348196,81.60884589,0.12397988,0,0,0,0,0,0,0,0,50.19786477,2.243922401,100.230605,0.471243995,81.57153025,0.335688054,0,0,0,0,0,0,0,0,50.05479452,0.962000013,100.109589,0.29965967,81.83561644,0.190613134,31.93972603,0.147421682,0,0,0,0,0,0,00000100000
20,50.15037594,2.175539502,100.3007519,2.046078132,81.54887218,1.095573939,31.39849624,0.903765449,69.04761905,0.410722496,18.7518797,0.361557737,0,0,50.14369847,1.346141039,100.2873969,0.179709611,0,0,0,0,0,0,0,0,0,0,50.13205282,2.468038742,100.2641056,0.493788152,81.60384154,0.318066954,0,0,0,0,0,0,0,0,50.05005959,0.986617929,100.1001192,0.305137392,81.84982122,0.217546185,31.79976162,0.164207299,0,0,0,0,0,0,00000100000
21,50.02728227,1.759776623,100.0545645,1.532523355,81.79643232,1.048807331,31.76915005,0.971566112,18.25813221,0.329644621,68.28541448,0.272564536,0,0,50.01705238,1.190139658,100.0341048,0.232065553,81.94884287,0.159528089,0,0,0,0,0,0,0,0,50.05479452,2.130475883,99.97716895,0.397284017,81.96803653,0.229673759,18.14155251,0.218804433,0,0,0,0,0,0,49.98476605,1.048781361,32.31338411,0.170163728,0,0,0,0,0,0,0,0,0,0,00001000000
22,50.06238065,1.868909213,100.1247613,1.644286996,81.66518141,0.986877718,31.60280076,0.949904028,68.52196053,0.363307227,18.45957989,0.344572947,0,0,50.16216216,1.08715445,100.1675676,0.238811837,81.67027027,0.149874409,31.66486486,0.126500007,0,0,0,0,0,0,50.01287001,2.165099367,100.1750322,0.410835557,81.81209781,0.270933316,18.36293436,0.229665003,0,0,0,0,0,0,50.01197605,1.194703385,32.10645376,0.203344491,0,0,0,0,0,0,0,0,0,0,00001000000
23,100.3409211,1.910699374,50.10905241,1.725460158,81.55002647,0.981354252,31.31815776,0.954071024,69.02276337,0.376285022,18.79089465,0.321986047,0,0,50.20168067,1.190480428,100.2815126,0.222262325,81.51680672,0.172077718,0,0,0,0,0,0,0,0,50.17782218,2.185367096,100.2397602,0.405664514,81.58241758,0.305931021,18.65734266,0.250350396,0,0,0,0,0,0,50.04587604,1.283573784,31.81649585,0.199866251,0,0,0,0,0,0,0,0,0,0,00001000000
24,100.09538,1.780172873,50.13412817,1.699389959,81.7704918,1.04759671,31.63636364,0.856706752,18.32488823,0.413027744,113.4068554,0.204767555,68.45901639,0.198562705,50.11650485,1.173226573,100.2330097,0.145093671,0,0,0,0,0,0,0,0,0,0,49.95620438,1.740381536,100.0817518,0.407376155,81.79270073,0.33731135,31.83649635,0.287210067,18.11970803,0.26863398,0,0,0,0,49.93558523,1.135539469,99.87117046,0.209436334,32.25765907,0.120467339,0,0,0,0,0,0,0,0,00010000000
25,100.185834,1.925564941,50.18126428,1.714761074,81.63290175,0.972542939,31.62833206,0.836655842,18.55293222,0.421615155,0,0,0,0,50.11509591,1.250977224,100.2301918,0.17735018,0,0,0,0,0,0,0,0,0,0,50.112,2.025495363,100.0384,0.384750342,81.8496,0.370696811,31.7376,0.275382736,18.3744,0.249404403,0,0,0,0,50.02441009,1.147711162,99.86004882,0.191374526,32.091131,0.131005015,0,0,0,0,0,0,0,0,00010000000
26,50.14109742,1.942381553,100.2821948,1.836794844,81.44680851,0.891586511,31.30571109,0.809564648,18.83538634,0.414309919,68.97648376,0.226986211,0,0,50.1019796,1.186216072,100.3431314,0.179436079,81.55488902,0.128307273,0,0,0,0,0,0,0,0,50.112,2.217545327,100.224,0.437245964,81.664,0.364149409,31.552,0.255468831,18.56,0.23247185,0,0,0,0,50.06032483,1.24091944,100.1206497,0.189016441,31.89327146,0.138791494,0,0,0,0,0,0,0,0,00010000000
27,50.03194888,1.861786385,100.0638978,1.860871969,81.90415335,1.113701624,32.05750799,0.934338873,17.97444089,0.393097723,68.00638978,0.258365453,0,0,50.05628518,1.201503777,99.89493433,0.206779972,82.04878049,0.127949871,0,0,0,0,0,0,0,0,50.0230701,1.842031956,99.84028394,0.445267031,82.13664596,0.267974807,32.11357587,0.26725414,17.70363798,0.254244066,0,0,0,0,49.86520947,0.935848836,32.53916211,0.19714052,82.40437158,0.116802972,0,0,0,0,0,0,0,0,00100000000
28,100.1022951,1.996368288,50.05114754,1.948736195,81.84655738,1.24300256,31.79540984,1.011620057,18.2557377,0.386789916,68.30688525,0.293456329,0,0,49.99479167,1.34048533,99.98958333,0.21597935,82.015625,0.156485119,0,0,0,0,0,0,0,0,50.06640106,1.747640833,99.97875166,0.468101112,81.95484728,0.315086253,32.04249668,0.225427154,18.02390438,0.208243933,0,0,0,0,49.95354677,0.924504549,32.33145009,0.215529774,82.28499686,0.11277868,99.76145637,0.092499617,0,0,0,0,0,0,00100000000
29,100.1373101,1.933786276,50.1339336,1.814391644,81.72875633,1.187133483,31.59482273,0.86350701,18.40855374,0.367653704,68.54248734,0.269515946,0,0,50.01111797,1.314630161,100.0222359,0.192090159,81.82334775,0.154675343,0,0,0,0,0,0,0,0,49.96105384,1.798607509,100.0549828,0.464052275,81.98396334,0.299412367,31.89003436,0.188353249,0,0,0,0,0,0,49.88348348,0.939080848,32.32672673,0.210165411,82.21021021,0.130625369,0,0,0,0,0,0,0,0,00100000000
30,99.96342119,1.990486162,49.91931146,1.777119468,82.11726735,1.324680339,32.19795589,0.963109076,17.84615385,0.39176942,67.7654653,0.257707075,0,0,49.85809086,1.284901594,99.71618173,0.173635728,0,0,0,0,0,0,0,0,0,0,49.85578748,2.315738767,82.43263757,0.458044108,99.71157495,0.349973403,17.49905123,0.261520928,17.05882353,0.233418555,0,0,0,0,49.78493605,0.794181381,99.45997158,0.295050711,33.08005685,0.139930311,82.86499289,0.123087339,16.59497868,0.085810904,0,0,0,0,01000000000
31,100,2.217896245,49.94285714,1.746059514,82.05714286,1.394545117,32.11428571,0.927745699,17.94285714,0.45364757,67.88571429,0.265715838,0,0,50.00621762,1.154242711,99.89222798,0.233226944,0,0,0,0,0,0,0,0,0,0,49.87728337,2.160947678,82.25948478,0.73952358,99.86323185,0.44710055,17.60374707,0.404917541,32.2735363,0.28973013,0,0,0,0,49.80729654,0.925344106,99.61459308,0.288203879,82.46959775,0.14549923,32.66230122,0.110963627,0,0,0,0,0,0,01000000000
32,99.96556962,2.05128611,50.04151899,1.854346115,81.99291139,1.348911135,31.95139241,1.096206207,18.09012658,0.455056407,68.01417722,0.305712205,0,0,50.05809129,1.213151907,99.99585062,0.255590076,81.94605809,0.133037019,0,0,0,0,0,0,0,0,49.94768612,2.508154599,82.15694165,0.832683547,99.89537223,0.491063457,17.85513078,0.374483146,0,0,0,0,0,0,49.92257416,0.90655066,99.72850679,0.289364253,82.34891905,0.163883362,32.4263449,0.099366764,0,0,0,0,0,0,01000000000
